Name,Twitter_username,Account_start_time,Account_ID,Sex,Birthplace,Instagram_username,Political_party
Ami Bera,RepBera,2012-11-16T00:00:00Z,950783972,male,United States of America,repbera,Democratic Party
Ammar Campa-Najjar,ACampaNajjar,2011-03-30T00:00:00Z,274440617,male,United States of America,ammarvel,
Amy Kennedy,AmyKennedy715,,,female,United States of America,,
Amy Klobuchar,amyklobuchar,2009-04-20T00:00:00Z,33537967,female,United States of America,amyklobuchar,Democratic Party
Amy Klobuchar,amyklobuchar,2009-04-20T00:00:00Z,33537967,female,United States of America,amyklobuchar,Minnesota Democratic–Farmer–Labor Party
Amy McGrath,AmyMcGrathKY,2014-08-31T00:00:00Z,2783231383,female,United States of America,amymcgrathky,Democratic Party
Ana Sol Gutierrez,asolg,2010-02-06T00:00:00Z,111989710,female,El Salvador,,Democratic Party
Anatoly Kashpirovsky,Kashpirovskiy,2010-10-12T00:00:00Z,201615962,male,Ukraine,anatoly_kashpirovskiy,LDPR
Ander Crenshaw,AnderCrenshaw,2009-02-06T00:00:00Z,20209807,male,United States of America,,Republican Party
Andrea Stewart-Cousins,andreascousins,2009-04-30T00:00:00Z,36745613,female,United States of America,,Democratic Party
Andrew Cuomo,NYGovCuomo,2010-12-30T00:00:00Z,232268199,male,United States of America,andrewcuomo,Democratic Party
Andrew Gillum,AndrewGillum,2012-01-15T00:00:00Z,465046121,male,United States of America,andrewgillum,Democratic Party
Andrew Gillum,AndrewGillum,2012-01-15T00:00:00Z,465046121,male,United States of America,andrewgillum,Florida Democratic Party
Andrew Ginther,andrewginther,2011-02-28T00:00:00Z,258851325,male,United States of America,,Democratic Party
Andrew R. Wheeler,EPAAWheeler,2017-02-17T00:00:00Z,832672006113931269,male,United States of America,,Republican Party
Andrew Romanoff,Romanoff2020,,69343589,male,United States of America,romanoff2020,Democratic Party
André Carson,RepAndreCarson,2010-10-06T00:00:00Z,199325935,male,United States of America,repandrecarson,Democratic Party
Andy Barr,RepAndyBarr,2013-01-14T00:00:00Z,1089334250,male,United States of America,,Republican Party
Andy Beshear,AndyBeshearKY,2015-01-20T00:00:00Z,2991360032,male,United States of America,,Democratic Party
Andy Biggs,RepAndyBiggsAZ,2017-01-04T00:00:00Z,816652616625168388,male,United States of America,repandybiggs,Republican Party
Andy Harris,RepAndyHarrisMD,2012-11-20T00:00:00Z,960962340,male,United States of America,,Republican Party
Andy Kim,AndyKimNJ,2018-12-28T00:00:00Z,1078771848882593793,male,United States of America,andykimnj,Democratic Party
Andy Kim,AndyKimNJ,2009-03-13T00:00:00Z,24215154,male,United States of America,andykimnj,Democratic Party
Andy Kim,RepAndyKimNJ,2018-12-28T00:00:00Z,1078771848882593793,male,United States of America,andykimnj,Democratic Party
Andy Kim,RepAndyKimNJ,2009-03-13T00:00:00Z,24215154,male,United States of America,andykimnj,Democratic Party
Andy Levin,RepAndyLevin,2019-01-01T00:00:00Z,1080277407867772930,male,United States of America,,Democratic Party
Andy Schor,andyschor,,,male,United States of America,andyschor,Democratic Party
Angela Alsobrooks,CEXAlsobrooks,2008-08-01T00:00:00Z,15935867,female,United States of America,,Democratic Party
Angela Alsobrooks,CEXAlsobrooks,2008-08-21T00:00:00Z,15935867,female,United States of America,,Democratic Party
Angela Stanton-King,theangiestanton,,,female,United States of America,theangelastanton,Republican Party
Angie Chen Button,angiechenbutton,,,female,Taiwan,,Republican Party
Angie Chen Button,angiechenbutton,,,female,Empire of Japan,,Republican Party
Angie Craig,AngieCraigMN,2019-01-01T00:00:00Z,1080222360643485698,female,United States of America,,Democratic Party
Angie Craig,RepAngieCraig,2019-01-01T00:00:00Z,1080222360643485698,female,United States of America,,Democratic Party
Angie Craig,AngieCraigMN,2011-11-13T00:00:00Z,411861905,female,United States of America,,Democratic Party
Angie Craig,RepAngieCraig,2011-11-13T00:00:00Z,411861905,female,United States of America,,Democratic Party
Angus King,SenAngusKing,,,male,United States of America,,independent politician
Angus King,SenAngusKing,2013-01-07T00:00:00Z,1068481578,male,United States of America,,independent politician
Anitere Flores,anitere_flores,2009-12-08T00:00:00Z,95357369,female,United States of America,,Republican Party
Ann Kirkpatrick,Ann_Kirkpatrick,2019-01-04T00:00:00Z,1081240074946252801,female,United States of America,,Democratic Party
Ann Kirkpatrick,Ann_Kirkpatrick,2011-03-25T00:00:00Z,272004287,female,United States of America,,Democratic Party
Ann Kirkpatrick,RepKirkpatrick,2019-01-04T00:00:00Z,1081240074946252801,female,United States of America,,Democratic Party
Ann Kirkpatrick,RepKirkpatrick,2011-03-25T00:00:00Z,272004287,female,United States of America,,Democratic Party
Ann McLane Kuster,RepAnnieKuster,2013-01-03T00:00:00Z,1058717720,female,United States of America,,Democratic Party
Ann Romney,AnnRomney,2011-03-10T00:00:00Z,263758909,female,United States of America,,Republican Party
Ann Wagner,RepAnnWagner,2012-12-31T00:00:00Z,1051446626,female,United States of America,repannwagner,Republican Party
Anna Eshoo,RepAnnaEshoo,2011-02-08T00:00:00Z,249348006,female,United States of America,repannaeshoo,Democratic Party
Anna M. Valencia,annavalenciail,2014-04-15T00:00:00Z,2445918049,female,United States of America,,Democratic Party
Annagrazia Calabria,AngieCalabria,,t2069084574,female,United States of America,,The People of Freedom
Annise Parker,AnniseParker,2009-01-20T00:00:00Z,19249328,female,United States of America,anniseparker,Democratic Party
Anthony Brindisi,RepBrindisi,2012-10-31T00:00:00Z,915831762,male,United States of America,,Democratic Party
Anthony Brindisi,RepBrindisi,2019-01-04T00:00:00Z,1080978331535896576,male,United States of America,,Democratic Party
Anthony Brindisi,abrindisiny,2012-10-31T00:00:00Z,915831762,male,United States of America,,Democratic Party
Anthony Brindisi,abrindisiny,2019-01-04T00:00:00Z,1080978331535896576,male,United States of America,,Democratic Party
Anthony Cannella,AnthonyCannella,2010-09-27T00:00:00Z,195638329,male,United States of America,,Republican Party
Anthony Cannella,AnthonyCannella,2010-09-27T00:00:00Z,195638329,male,United States of America,,California Republican Party
Anthony G. Brown,RepAnthonyBrown,2017-01-23T00:00:00Z,823552974253342721,male,United States of America,repanthonybrown,Democratic Party
Anthony Gonzalez,RepAGonzalez,2018-10-22T00:00:00Z,1054381765224210432,male,United States of America,,Republican Party
Anthony Gonzalez,RepAGonzalez,2017-08-22T00:00:00Z,900025544032624640,male,United States of America,,Republican Party
Anthony Gonzalez,anthonygonzalez,2018-10-22T00:00:00Z,1054381765224210432,male,United States of America,,Republican Party
Anthony Gonzalez,anthonygonzalez,2017-08-22T00:00:00Z,900025544032624640,male,United States of America,,Republican Party
Anthony Portantino,Portantino,,,male,United States of America,portantino,Democratic Party
Anthony Rendon,Rendon63rd,2013-02-20T00:00:00Z,1200043633,male,United States of America,,California Democratic Party
Anthony Scaramucci,scaramucci,2009-03-15T00:00:00Z,24578794,male,United States of America,scaramucci,Republican Party
Anthony Weiner,anthonyweiner,2012-01-01T00:00:00Z,452407641,male,United States of America,,Democratic Party
Antonio Cabral,RepTonyCabral,,,male,Portugal,,Democratic Party
Antonio Delgado,DelgadoforNY19,2017-02-07T00:00:00Z,829061809135030272,male,United States of America,repantoniodelgado,Democratic Party
Antonio Delgado,repdelgado,2017-02-07T00:00:00Z,829061809135030272,male,United States of America,repantoniodelgado,Democratic Party
Antonio Delgado,DelgadoforNY19,2019-01-02T00:00:00Z,1080485692298444800,male,United States of America,repantoniodelgado,Democratic Party
Antonio Delgado,repdelgado,2019-01-02T00:00:00Z,1080485692298444800,male,United States of America,repantoniodelgado,Democratic Party
Antonio Villaraigosa,antonio4ca,2019-07-22T00:00:00Z,1153371321947922433,male,United States of America,antonioforcalifornia,Democratic Party
Anwar Taj,BerettaScottK,2009-04-21T00:00:00Z,34058369,female,United States of America,,
Apesanahkwat,Apesanahkwat,2012-10-18T00:00:00Z,889873770,male,United States of America,,
Aravella Simotas,AravellaSimotas,2009-05-01T00:00:00Z,37055926,female,Zimbabwe,,Democratic Party
Ari Fleischer,AriFleischer,,,male,United States of America,,Republican Party
Arianna Huffington,ariannahuff,2009-02-25T00:00:00Z,21982720,female,Greece,ariannahuff,Democratic Party
Arne Duncan,arneduncan,2015-12-27T00:00:00Z,4662969794,male,United States of America,,Democratic Party
Arthur B. Robinson,artforcongress,,t2087572521,male,United States of America,,Republican Party
